Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",21.486000,15.901800,-90.000000,top
"C2","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",21.781000,31.149000,180.000000,top
"C3","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",32.982400,30.183800,0.000000,top
"C4","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",33.465000,14.181800,0.000000,top
"C6","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",55.512200,26.348400,0.000000,top
"C7","2.2uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",25.286200,31.301400,90.000000,top
"C8","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",59.750100,26.334000,0.000000,top
"C9","10uF","CP_EIA-6032-28_Kemet-C_HandSolder",57.564400,22.987500,0.000000,top
"C13","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",37.884600,41.588400,90.000000,top
"C14","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",37.935400,37.143400,-90.000000,top
"C15","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",40.145200,41.613800,90.000000,top
"C16","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",40.246800,37.164900,-90.000000,top
"C17","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",40.300000,49.900000,90.000000,top
"C18","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",37.861600,49.925400,90.000000,top
"C19","22p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",39.401800,18.699700,90.000000,top
"C20","22p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",39.401800,22.636700,-90.000000,top
"C21","0.01uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",39.700000,9.100000,0.000000,top
"C22","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",40.246800,45.826300,-90.000000,top
"C23","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",37.884600,45.754000,-90.000000,top
"C24","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",36.513000,23.097200,-90.000000,top
"C25","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",21.781000,28.939200,180.000000,top
"C26","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",48.247800,17.534600,180.000000,top
"D1","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",48.324000,22.309800,90.000000,top
"D2","USB_LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",12.357600,28.913800,90.000000,top
"D3","3V3_LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",24.143200,38.413400,90.000000,top
"D4","USER_LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",21.450800,34.882800,0.000000,top
