Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",84.500000,-119.700000,180.000000,top
"C2","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",84.462500,-117.500000,180.000000,top
"C3","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",97.100000,-132.900000,0.000000,top
"C4","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",97.400000,-120.062500,90.000000,top
"C5","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",82.900000,-128.000000,90.000000,top
"C6","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",83.400000,-151.762500,90.000000,top
"C7","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",81.100000,-151.762500,90.000000,top
"C8","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",81.100000,-147.500000,90.000000,top
"C9","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",83.400000,-147.500000,90.000000,top
"C10","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",97.500000,-151.437500,90.000000,top
"C11","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",95.200000,-151.437500,90.000000,top
"C12","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",97.500000,-147.075000,90.000000,top
"C13","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",95.200000,-147.075000,90.000000,top
"C14","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",102.712500,-142.150000,180.000000,top
"C15","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",81.900000,-139.837500,-90.000000,top
"C16","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",76.200000,-148.000000,180.000000,top
"C17","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",76.200000,-145.700000,180.000000,top
"C18","2.2uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",93.600000,-135.100000,180.000000,top
"C19","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",86.462500,-134.300000,180.000000,top
"C20","22pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",79.225000,-122.362500,180.000000,top
"C21","22pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",79.262500,-128.262500,0.000000,top
"C22","0.01uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",75.700000,-130.000000,90.000000,top
"D1","5V_LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",97.575000,-138.200000,0.000000,top
"D2","3V3_LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",103.575000,-156.700000,0.000000,top
"D3","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",104.300000,-138.000000,0.000000,top
"D4","3V3_LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",92.500000,-140.875000,-90.000000,top
"D5","USB_LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",107.000000,-133.600000,180.000000,top
"F1","PTCSMD","Fuse_1812_4532Metric",113.200000,-132.700000,180.000000,top
"J1","BATT_CONN","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",75.600000,-155.500000,180.000000,top
"J2","M1_CONN","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",66.300000,-138.800000,90.000000,top
"J3","M2_CONN","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",66.300000,-148.000000,90.000000,top
"J4","Conn_01x08","PinSocket_1x08_P2.54mm_Vertical",66.000000,-107.300000,0.000000,top
"J5","Conn_02x04_Odd_Even","PinSocket_2x04_P2.54mm_Vertical",114.290000,-107.200000,0.000000,top
"J6","ENCODER_CONN","JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",86.350000,-107.375000,0.000000,top
"J7","ENCODER_CONN","PinHeader_1x04_P2.54mm_Vertical",99.960000,-106.700000,90.000000,top
"J8","MT6701_CONN","JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical",114.100000,-139.200000,-90.000000,top
"J9","USB_C_Receptacle_USB2.0_14P","USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A",115.325000,-124.680000,90.000000,top
"R1","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",89.900000,-140.875000,90.000000,top
"R2","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",103.500000,-154.300000,180.000000,top
"R3","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",113.100000,-117.900000,0.000000,top
"R4","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",97.600000,-140.500000,180.000000,top
"R5","5.1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",105.962500,-121.550000,0.000000,top
"R6","5.1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",105.862500,-127.550000,0.000000,top
"R7","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",107.000000,-131.500000,0.000000,top
"R8","22k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",100.625000,-125.400000,180.000000,top
"R9","22k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",100.625000,-123.400000,180.000000,top
"R10","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",84.200000,-112.800000,180.000000,top
"S1","REGULATOR_SWITCH","SW_SLW-66527511-SMT-TR",89.100000,-156.550000,0.000000,top
"S2","SLW-66527511-SMT-TR","SW_SLW-66527511-SMT-TR",75.900000,-106.400000,180.000000,top
"SW1","SW_uP_Reset","SW_uP_Reset",71.400000,-126.450000,-90.000000,top
"U1","STM32F401RBTx","LQFP-64_10x10mm_P0.5mm",90.825000,-126.350000,0.000000,top
"U2","LD1117S50TR_SOT223","SOT-223-3_TabPin2",89.050000,-149.300000,0.000000,top
"U3","LD1117S50TR_SOT223","SOT-223-3_TabPin2",103.300000,-149.100000,0.000000,top
"U4","TB6612FNG","SSOP-24_5.3x8.2mm_P0.65mm",76.000000,-140.100000,0.000000,top
"U5","USBLC6-2SC6","SOT-23-6",105.962500,-124.450000,180.000000,top
"Y1","16MHz","Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm",79.225000,-125.312500,180.000000,top
