Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22u","C_0805_2012Metric",139.450000,-107.000000,0.000000,top
"C2","22u","C_0805_2012Metric",144.400000,-112.750000,90.000000,top
"C3","10u","C_0603_1608Metric",128.562500,-96.500000,0.000000,top
"C4","100n","C_0402_1005Metric",124.762500,-100.800000,90.000000,top
"C5","100n","C_0402_1005Metric",133.680000,-110.100000,180.000000,top
"C6","100n","C_0402_1005Metric",136.800000,-101.580000,-90.000000,top
"C7","100n","C_0402_1005Metric",128.462500,-98.100000,0.000000,top
"C8","10n","C_0402_1005Metric",124.862500,-105.180000,90.000000,top
"C9","1u","C_0402_1005Metric",124.082500,-108.600000,180.000000,top
"C10","1u","C_0402_1005Metric",124.082500,-110.200000,180.000000,top
"C11","100n","C_0402_1005Metric",128.562500,-110.100000,0.000000,top
"C12","10p","C_0402_1005Metric",123.100000,-102.200000,90.000000,top
"C13","10p","C_0402_1005Metric",123.100000,-104.820000,90.000000,top
"D1","RED","LED_0603_1608Metric",147.100000,-112.812500,-90.000000,top
"FB1","120R","L_0603_1608Metric",126.062500,-109.600000,-90.000000,top
"J2","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",143.640000,-91.400000,-90.000000,top
"J3","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",130.610000,-91.400000,-90.000000,top
"J4","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",125.180000,-117.800000,90.000000,top
"R1","1k5","R_0402_1005Metric",147.690000,-110.300000,180.000000,top
"R2","10k","R_0402_1005Metric",120.200000,-99.600000,90.000000,top
"R3","1k5","R_0402_1005Metric",140.700000,-102.200000,-90.000000,top
"R4","1k5","R_0402_1005Metric",127.700000,-115.100000,180.000000,top
"R5","1k5","R_0402_1005Metric",130.300000,-115.100000,0.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12",115.430000,-99.550000,-90.000000,top
"U1","STM32F103C8T6","LQFP-48_7x7mm_P0.5mm",130.800000,-104.100000,0.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",139.400000,-112.650000,-90.000000,top
"USB","USB_B_Micro","USB_Micro-B_Wuerth_629105150521",150.350000,-104.405000,90.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",120.450000,-103.400000,-90.000000,top
